SPECIES,COUNTRIES,STOCK,STRENGTH,PROPERTY.RIGHTS,ORGANIZATION
Atlantic cod,LV,CODKAT_CODNS,0.5,0.6626984126984127,0.06451612903225806
Atlantic cod,LV,CODVIa,0.5,0.6626984126984127,0.06451612903225806
Atlantic cod,NL,CODBA2532,0.8,0.7420634920634921,0.2903225806451613
Atlantic cod,NL,CODCOASTNOR_CODNEAR,0.8,0.7420634920634921,0.2903225806451613
Atlantic cod,NL,CODFAPL,0.8,0.7420634920634921,0.2903225806451613
Atlantic cod,NL,CODICE,0.8,0.7420634920634921,0.2903225806451613
Atlantic cod,NL,CODIS,0.8,0.7420634920634921,0.2903225806451613
Atlantic cod,NL,CODKAT_CODNS,0.8,0.7420634920634921,0.2903225806451613
Atlantic cod,NL,CODVIa,0.8,0.7420634920634921,0.2903225806451613
European hake,NL,HAKENRTN,0.8,0.7420634920634921,0.2903225806451613
European hake,NL,HAKESOTH,0.8,0.7420634920634921,0.2903225806451613
Atlantic cod,PL,CODBA2532,0.7,0.6865079365079365,0.41935483870967744
Atlantic cod,PL,CODCOASTNOR_CODNEAR,0.7,0.6865079365079365,0.41935483870967744
Atlantic cod,PL,CODFAPL,0.7,0.6865079365079365,0.41935483870967744
Atlantic cod,PL,CODICE,0.7,0.6865079365079365,0.41935483870967744
Atlantic cod,PL,CODIS,0.7,0.6865079365079365,0.41935483870967744
Atlantic cod,PL,CODKAT_CODNS,0.7,0.6865079365079365,0.41935483870967744
Atlantic cod,PL,CODVIa,0.7,0.6865079365079365,0.41935483870967744
Atlantic cod,PT,CODBA2532,1,0.7380952380952381,0.45161290322580644
Atlantic cod,PT,CODCOASTNOR_CODNEAR,1,0.7380952380952381,0.45161290322580644
Atlantic cod,PT,CODFAPL,1,0.7380952380952381,0.45161290322580644
Atlantic cod,PT,CODICE,1,0.7380952380952381,0.45161290322580644
Atlantic cod,PT,CODIS,1,0.7380952380952381,0.45161290322580644
Atlantic cod,PT,CODKAT_CODNS,1,0.7380952380952381,0.45161290322580644
Atlantic cod,PT,CODVIa,1,0.7380952380952381,0.45161290322580644
European hake,PT,HAKENRTN,1,0.7380952380952381,0.45161290322580644
European hake,PT,HAKESOTH,1,0.7380952380952381,0.45161290322580644
Atlantic cod,SE,CODBA2532,1,0.6547619047619048,0.16129032258064516
Atlantic cod,SE,CODCOASTNOR_CODNEAR,1,0.6547619047619048,0.16129032258064516
Atlantic cod,SE,CODFAPL,1,0.6547619047619048,0.16129032258064516
Atlantic cod,SE,CODICE,1,0.6547619047619048,0.16129032258064516
Atlantic cod,SE,CODIS,1,0.6547619047619048,0.16129032258064516
Atlantic cod,SE,CODKAT_CODNS,1,0.6547619047619048,0.16129032258064516
Atlantic cod,SE,CODVIa,1,0.6547619047619048,0.16129032258064516
European hake,SE,HAKENRTN,1,0.6547619047619048,0.16129032258064516
European hake,SE,HAKESOTH,1,0.6547619047619048,0.16129032258064516
Atlantic cod,FI,CODBA2532,0.8,0.6626984126984127,NA
Atlantic cod,FI,CODCOASTNOR_CODNEAR,0.8,0.6626984126984127,NA
Atlantic cod,FI,CODFAPL,0.8,0.6626984126984127,NA
Atlantic cod,FI,CODICE,0.8,0.6626984126984127,NA
Atlantic cod,FI,CODIS,0.8,0.6626984126984127,NA
Atlantic cod,FI,CODKAT_CODNS,0.8,0.6626984126984127,NA
Atlantic cod,FI,CODVIa,0.8,0.6626984126984127,NA
