SPECIES;COUNTRIES;STOCK;DEVELOPMENT;QUOTAS;PROPERTY.RIGHTS;CO.MANAGEMENT
Atlantic cod;LV;CODICE;0;NA;0.6627;0.0769
Atlantic cod;LV;CODBA2532;0;0.0933;0.6627;0.0769
Atlantic cod;LV;CODKAT_CODNS;0;0;0.6627;0.0769
Atlantic cod;LV;CODIS;0;0;0.6627;0.0769
Atlantic cod;LV;CODVIa;0;0;0.6627;0.0769
Atlantic cod;LT;CODCOASTNOR_CODNEAR;0.1875;0;0.6667;0.0513
Atlantic cod;LT;CODFAPL;0.1875;0;0.6667;0.0513
Atlantic cod;LT;CODICE;0.1875;NA;0.6667;0.0513
Atlantic cod;LT;CODBA2532;0.1875;0.0615;0.6667;0.0513
Atlantic cod;LT;CODKAT_CODNS;0.1875;0;0.6667;0.0513
Atlantic cod;LT;CODIS;0.1875;0;0.6667;0.0513
Atlantic cod;LT;CODVIa;0.1875;0;0.6667;0.0513
Atlantic cod;NL;CODCOASTNOR_CODNEAR;0.9792;0;0.7421;0.2821
Atlantic cod;NL;CODFAPL;0.9792;0;0.7421;0.2821
Atlantic cod;NL;CODICE;0.9792;NA;0.7421;0.2821
Atlantic cod;NL;CODBA2532;0.9792;0;0.7421;0.2821
Atlantic cod;NL;CODKAT_CODNS;0.9792;0.0595;0.7421;0.2821
Atlantic cod;NL;CODIS;0.9792;0;0.7421;0.2821
Atlantic cod;NL;CODVIa;0.9792;0;0.7421;0.2821
Atlantic cod;PL;CODCOASTNOR_CODNEAR;0.2604;0.0579;0.6865;0.2564
Atlantic cod;PL;CODFAPL;0.2604;0;0.6865;0.2564
Atlantic cod;PL;CODICE;0.2604;NA;0.6865;0.2564
Atlantic cod;PL;CODBA2532;0.2604;0.2889;0.6865;0.2564
Atlantic cod;PL;CODKAT_CODNS;0.2604;0;0.6865;0.2564
Atlantic cod;PL;CODIS;0.2604;0;0.6865;0.2564
Atlantic cod;PL;CODVIa;0.2604;0;0.6865;0.2564
Atlantic cod;PT;CODCOASTNOR_CODNEAR;0.1354;0.0565;0.7381;0.359
Atlantic cod;PT;CODFAPL;0.1354;0;0.7381;0.359
Atlantic cod;PT;CODICE;0.1354;NA;0.7381;0.359
Atlantic cod;PT;CODBA2532;0.1354;0;0.7381;0.359
Atlantic cod;PT;CODKAT_CODNS;0.1354;0;0.7381;0.359
Atlantic cod;PT;CODIS;0.1354;0;0.7381;0.359
Atlantic cod;PT;CODVIa;0.1354;0;0.7381;0.359
Atlantic cod;FI;CODCOASTNOR_CODNEAR;0.6771;0;0.6627;NA
Atlantic cod;FI;CODFAPL;0.6771;0;0.6627;NA
Atlantic cod;FI;CODICE;0.6771;NA;0.6627;NA
Atlantic cod;FI;CODBA2532;0.6771;0.0192;0.6627;NA
Atlantic cod;FI;CODKAT_CODNS;0.6771;0;0.6627;NA
Atlantic cod;FI;CODIS;0.6771;0;0.6627;NA
Atlantic cod;FI;CODVIa;0.6771;0;0.6627;NA
Atlantic cod;SE;CODCOASTNOR_CODNEAR;0.8646;0;0.6548;0.1282
Atlantic cod;SE;CODFAPL;0.8646;0;0.6548;0.1282
Atlantic cod;SE;CODICE;0.8646;NA;0.6548;0.1282
Atlantic cod;SE;CODBA2532;0.8646;0.2542;0.6548;0.1282
Atlantic cod;SE;CODKAT_CODNS;0.8646;0.0007;0.6548;0.1282
Atlantic cod;SE;CODIS;0.8646;0;0.6548;0.1282
Atlantic cod;SE;CODVIa;0.8646;0;0.6548;0.1282
