SPECIES;COUNTRIES;STOCK;ADAPTIVE.MNG;CATCH.DEP;FLEET.MOBILITY;GEAR.DIVERSITY
Atlantic cod;NL;CODVIa;0.1687;NA;0.1286;1
Atlantic cod;NL;CODNS;0.1687;NA;0.1286;1
Atlantic cod;PL;CODCOASTNOR_CODNEAR;0.5064;0.8307;0.1412;1
Atlantic cod;PL;CODFAPL;0.5064;NA;0.1412;1
Atlantic cod;PL;CODICE;0.5064;NA;0.1412;1
Atlantic cod;PL;CODBA2532;0.5064;0.2772;0.1412;1
Atlantic cod;PL;CODKAT;0.5064;NA;0.1412;1
Atlantic cod;PL;CODIS;0.5064;NA;0.1412;1
Atlantic cod;PL;CODVIa;0.5064;NA;0.1412;1
Atlantic cod;PL;CODNS;0.5064;NA;0.1412;1
Atlantic cod;PT;CODCOASTNOR_CODNEAR;0.1081;0.3506;0.2241;1
Atlantic cod;PT;CODFAPL;0.1081;NA;0.2241;1
Atlantic cod;PT;CODICE;0.1081;NA;0.2241;1
Atlantic cod;PT;CODBA2532;0.1081;NA;0.2241;1
Atlantic cod;PT;CODKAT;0.1081;0.9487;0.2241;1
Atlantic cod;PT;CODIS;0.1081;NA;0.2241;1
Atlantic cod;PT;CODVIa;0.1081;NA;0.2241;1
Atlantic cod;PT;CODNS;0.1081;NA;0.2241;1
Atlantic cod;FI;CODCOASTNOR_CODNEAR;0.0225;NA;NA;1
Atlantic cod;FI;CODFAPL;0.0225;NA;NA;1
Atlantic cod;FI;CODICE;0.0225;NA;NA;1
Atlantic cod;FI;CODBA2532;0.0225;0.687;NA;1
Atlantic cod;FI;CODKAT;0.0225;NA;NA;1
Atlantic cod;FI;CODIS;0.0225;NA;NA;1
Atlantic cod;FI;CODVIa;0.0225;NA;NA;1
Atlantic cod;FI;CODNS;0.0225;NA;NA;1
Atlantic cod;SE;CODCOASTNOR_CODNEAR;0.5668;NA;NA;1
Atlantic cod;SE;CODFAPL;0.5668;NA;NA;1
Atlantic cod;SE;CODICE;0.5668;NA;NA;1
Atlantic cod;SE;CODBA2532;0.5668;0.334;NA;1
Atlantic cod;SE;CODKAT;0.5668;0.9593;NA;1
Atlantic cod;SE;CODIS;0.5668;NA;NA;1
Atlantic cod;SE;CODVIa;0.5668;NA;NA;1
Atlantic cod;SE;CODNS;0.5668;NA;NA;1
